image_name,x1,x2,y1,y2
1474723840903DSC08089.png,167.01755,478.59335,110.32656,368.24612
1473231475010DeeplearnS11276.png,138.20085,491.2514,122.75268,358.97687
JPEG_20161205_135307_1000155917326.png,172.40443,453.77313,101.60294,356.07764
JPEG_20160711_123440_1000518778437.png,136.27693,486.55334,130.42699,356.7997
JPEG_20160803_115329_100034020722.png,178.3503,436.54877,111.42743,343.78433
147444974116511473239803010-Mast--Harbour-Men-Blue-Printed-Regular-Boat-Shoes-3651473239802717-2.png,175.72493,474.26447,115.07305,367.38553
JPEG_20160622_110649_1000527459853.png,180.76674,441.9137,109.31641,353.09818
JPEG_20160823_120737_1000784898268.png,160.23834,473.56247,123.34385,354.33243
1480965956645IMG_3094.png,153.87859,446.88474,144.99261,323.43436
14732348976417a565e40d545452688130062b267a2d2.png,153.31972,485.26624,122.421196,367.97452
1474723374370DSC07852.png,167.06567,451.64114,87.28617,370.1728
JPEG_20160820_111118_100011668802.png,176.65277,446.4606,117.161896,343.80008
JPEG_20160706_105226_100087855419.png,150.1998,470.31982,101.82377,362.3148
JPEG_20160621_155839_100073846506.png,174.6846,435.38992,63.26203,382.5689
1480940089861_R2A1904.png,33.595383,592.4466,107.542305,385.95346
1474637513144DSC06780.png,186.16461,427.66364,85.74919,368.33688
JPEG_20161123_170015_1000183903221.png,129.98393,495.0416,119.44023,358.7429
JPEG_20161205_152655_1000319785884.png,138.20085,491.2514,122.75268,358.97687
14806550588121473324459p2-500x500.png,171.47112,462.32715,102.83034,360.1475
JPEG_20160913_110021_1000554801748.png,172.40443,453.77313,101.60294,356.07764
JPEG_20161028_113656_1000884495593.png,189.3844,428.35657,104.29526,364.60925
1480485006674IMG_20161129_181135.png,97.395164,529.7516,118.04008,358.24594
1468666217374JPEG_20160712_164026_1000951901481.png,188.2048,474.51852,47.395515,417.04428
1475159286472DSC08150.png,103.380135,510.69638,123.14234,357.88678
1473662770499DeeplearnS11593.png,186.66702,452.78918,112.82553,363.27332
JPEG_20161121_172423_1000451802749.png,180.02911,452.0965,68.60663,400.24615
JPEG_20160711_112635_1000386061474.png,143.85983,483.69333,128.88577,353.59293
JPEG_20161125_170806_1000294132098.png,158.8233,474.28546,50.56,406.97736
1473664771684DeeplearnS11641.png,137.35796,482.5636,115.4019,362.1601
JPEG_20161125_142000_1000881308475.png,163.71529,444.767,133.60855,340.9606
JPEG_20161118_130619_1000234318180.png,182.999,447.10214,108.483505,357.13196
JPEG_20161126_173920_1000722732321.png,194.11617,418.4434,101.46506,347.83636
1480965914378IMG_3091.png,140.06053,516.7884,134.53207,360.83597
JPEG_20161028_113801_1000834228994.png,81.82178,541.3108,160.96228,336.02603
JPEG_20160527_132045_1000754722948.png,140.06053,516.7884,134.53207,360.83597
1474630500639DSC08168.png,82.58063,560.57947,47.8459,426.60873
1480604337122_R2A5871.png,82.58063,560.57947,47.8459,426.60873
JPEG_20160526_131015_1000774672877.png,82.58063,560.57947,47.8459,426.60873
JPEG_20161124_133820_1000408773191.png,81.26959,533.07324,130.03093,365.03607
JPEG_20161202_175058_1000981167934.png,75.59905,588.8329,61.26397,422.4439
JPEG_20160628_125830_1000217908431.png,115.71215,523.7975,63.512745,392.56567
JPEG_20160820_160507_1000249071692.png,113.24968,508.85538,72.84118,368.80676
JPEG_20160805_183420_1000172602371.png,85.558525,530.27423,53.367275,394.30893
JPEG_20161130_165327_1000403284746.png,137.1567,493.37042,79.75843,372.20844
JPEG_20160607_164241_1000166500949.png,203.00958,424.6242,59.1853,391.3091
JPEG_20160625_121426_1000756352197.png,76.847824,537.5685,16.138823,455.64435
147771816901820161028_154719.png,48.645798,553.8522,68.02318,429.38904
JPEG_20161011_163049_1000951839162.png,95.38107,604.93384,31.755611,474.8256
JPEG_20161117_185714_1000710683582.png,45.091797,566.1056,87.16047,406.38013
JPEG_20161130_152547_1000951985749.png,197.16895,457.30847,38.552555,414.48862
JPEG_20161208_180645_1000228838877.png,186.50519,427.85904,85.24591,368.6525
JPEG_20161028_115228_1000768175676.png,45.091797,566.1056,87.16047,406.38013
