"","City","SKU_Cookware","SKU_Crockery","SKU_Electronics","SKU_Farm Fresh","SKU_Fashion","SKU_Food Services","SKU_Healthcare","SKU_Home Essentials","SKU_Home Fashion","SKU_Plastics","SKU_Processed Food","SKU_Shoes","SKU_Sports","SKU_Staples","SKU_Stationery","SKU_Toys","SKU_Trolley Bags","SKU_Utensils","SKU_Wellness","Sale","City.Type","LiteracyRate","Population","AvgCPI","Area.km2."
"1","Asansol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2795247.57021277,"Town",83.3,563917,143.6,49
"2","Asansol",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2487419.35744681,"Town",83.3,563917,143.6,49
"3","Asansol",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800423.50212766,"Town",83.3,563917,143.6,49
"4","Asansol",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5259208.10212766,"Town",83.3,563917,143.6,49
"5","Asansol",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2749654.63404255,"Town",83.3,563917,143.6,49
"6","Asansol",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37155072.9276596,"Town",83.3,563917,143.6,49
"7","Asansol",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,181471.114893617,"Town",83.3,563917,143.6,49
"8","Asansol",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29649.7489361702,"Town",83.3,563917,143.6,49
"9","Asansol",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14808,"Town",83.3,563917,143.6,49
"10","Asansol",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4286111.21702128,"Town",83.3,563917,143.6,49
"11","Asansol",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29394050.1021277,"Town",83.3,563917,143.6,49
"12","Asansol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4495174.47659575,"Town",83.3,563917,143.6,49
